2.436625,74,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.436625,74,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.436625,74,1,"no remark ",74,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.436625,74,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.530625,74,1,"no remark ",74,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.530625,74,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.530625,74,1,"no remark ",74,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.530625,74,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.546625,74,1,"no remark ",74,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.546625,74,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.546625,75,1,"no remark ",75,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.546625,75,1,"no remark ",75,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.546625,78,1,"no remark ",78,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.546625,88,1,"no remark ",87,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.640625,107,1,"no remark ",107,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.640625,132,1,"no remark ",131,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.640625,158,1,"no remark ",157,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.640625,182,1,"no remark ",182,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.640625,203,1,"no remark ",203,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.640625,220,1,"no remark ",220,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.640625,234,1,"no remark ",233,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.640625,242,1,"no remark ",242,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.640625,248,1,"no remark ",248,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.640625,249,1,"no remark ",249,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
