2.343125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
2.343125,10,100,"no remark ",10,1,"no remark ",10,1,"no remark ",10,1,"no remark ",10
2.453125,195,100,"no remark ",167,1,"no remark ",146,1,"no remark ",130,1,"no remark ",10
2.453125,478,100,"no remark ",419,1,"no remark ",372,1,"no remark ",335,1,"no remark ",10
2.453125,655,100,"no remark ",591,1,"no remark ",536,1,"no remark ",490,1,"no remark ",10
2.453125,763,100,"no remark ",708,1,"no remark ",656,1,"no remark ",610,1,"no remark ",10
2.453125,817,100,"no remark ",780,1,"no remark ",738,1,"no remark ",696,1,"no remark ",10
2.453125,835,100,"no remark ",820,1,"no remark ",791,1,"no remark ",758,1,"no remark ",10
2.453125,828,100,"no remark ",835,1,"no remark ",822,1,"no remark ",798,1,"no remark ",10
2.453125,804,100,"no remark ",832,1,"no remark ",834,1,"no remark ",823,1,"no remark ",10
2.453125,769,100,"no remark ",816,1,"no remark ",834,1,"no remark ",834,1,"no remark ",10
2.453125,726,100,"no remark ",790,1,"no remark ",822,1,"no remark ",835,1,"no remark ",10
2.562125,681,100,"no remark ",759,1,"no remark ",804,1,"no remark ",827,1,"no remark ",10
2.562125,634,100,"no remark ",723,1,"no remark ",779,1,"no remark ",813,1,"no remark ",10
2.562125,588,100,"no remark ",685,1,"no remark ",751,1,"no remark ",794,1,"no remark ",10
2.562125,542,100,"no remark ",646,1,"no remark ",720,1,"no remark ",771,1,"no remark ",10
2.562125,499,100,"no remark ",607,1,"no remark ",688,1,"no remark ",746,1,"no remark ",10
2.562125,458,100,"no remark ",568,1,"no remark ",654,1,"no remark ",718,1,"no remark ",10
2.562125,420,100,"no remark ",531,1,"no remark ",621,1,"no remark ",690,1,"no remark ",10
2.562125,383,100,"no remark ",495,1,"no remark ",588,1,"no remark ",660,1,"no remark ",10
2.562125,350,100,"no remark ",461,1,"no remark ",555,1,"no remark ",631,1,"no remark ",10
2.562125,319,100,"no remark ",429,1,"no remark ",523,1,"no remark ",602,1,"no remark ",10
2.671125,292,100,"no remark ",398,1,"no remark ",493,1,"no remark ",573,1,"no remark ",10
2.671125,266,100,"no remark ",369,1,"no remark ",463,1,"no remark ",545,1,"no remark ",10
2.671125,242,100,"no remark ",342,1,"no remark ",436,1,"no remark ",518,1,"no remark ",10
2.671125,220,100,"no remark ",317,1,"no remark ",409,1,"no remark ",491,1,"no remark ",10
2.671125,201,100,"no remark ",294,1,"no remark ",384,1,"no remark ",465,1,"no remark ",10
2.671125,183,100,"no remark ",272,1,"no remark ",359,1,"no remark ",441,1,"no remark ",10
2.671125,167,100,"no remark ",252,1,"no remark ",337,1,"no remark ",417,1,"no remark ",10
2.671125,152,100,"no remark ",233,1,"no remark ",315,1,"no remark ",394,1,"no remark ",10
2.671125,139,100,"no remark ",216,1,"no remark ",295,1,"no remark ",373,1,"no remark ",10
2.671125,126,100,"no remark ",199,1,"no remark ",276,1,"no remark ",352,1,"no remark ",10
2.781125,116,100,"no remark ",185,1,"no remark ",259,1,"no remark ",333,1,"no remark ",10
2.781125,105,100,"no remark ",171,1,"no remark ",242,1,"no remark ",314,1,"no remark ",10
